12301	P1	10
12302	P1	10
12303	P1	10
12304	P1	10
12304	P2	9
12304	P3	8
12304	P4	7
12304	P5	6
12304	P6	5
12304	P7	4
12304	P8	3
12304	P9	2
12304	P10	1
12305	P1	4
12305	P2	5
12305	P3	3
12306	P1	10
12306	P2	10
12307	P2	4
12307	P3	3
12308	P2	10
12309	P2	10
12310	P2	10
12311	P3	3
12311	P4	2
12311	P6	1
12311	P9	1
12312	P3	9
12313	P3	9
12314	P3	9
12315	P3	9
12316	P4	9
12317	P4	9
12318	P4	9
12319	P4	9
12320	P4	9
12321	P5	8
12322	P5	8
12323	P5	8
12324	P1	1
12324	P2	2
12324	P3	3
12324	P4	4
12324	P5	5
12324	P6	6
12324	P7	7
12324	P8	8
12324	P9	9
12324	P10	10
12325	P5	8
12326	P6	8
12327	P6	2
12327	P7	1
12327	P8	1
12328	P6	8
12329	P6	8
12330	P6	8
12331	P7	9
12332	P7	9
12333	P7	9
12334	P7	9
12335	P7	9
12336	P8	9
12337	P8	9
12338	P8	9
12339	P8	9
12340	P8	9
12341	P9	9
12342	P9	9
12343	P9	9
12344	P1	3
12344	P2	5
12344	P3	2
12344	P4	1
12344	P5	6
12344	P6	5
12344	P7	8
12344	P8	3
12344	P9	9
12344	P10	1
12345	P9	9
12346	P10	9
12347	P10	9
12348	P10	9
12349	P10	9
12350	P1	1
12350	P3	2
12350	P6	2
12350	P8	1
12350	P10	1
